,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Year,Tms,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt,APYd
1,2019,32,629,4507,3,7.2,634,14391,6,22.7,154038
2,2018,32,908,7690,7,8.5,970,22233,5,22.9,218791
3,2017,32,1069,8737,10,8.2,1036,22389,7,21.6,209976
4,2016,32,1012,8653,10,8.6,1036,22688,7,21.9,217968
5,2015,32,1138,9654,13,8.5,1081,25445,7,23.5,223517
6,2014,32,1036,9208,13,8.9,1226,29124,6,23.8,224940
7,2013,32,1094,10301,13,9.4,1289,30126,7,23.4,228585
8,2012,32,1134,11035,18,9.7,1395,32892,13,23.6,230301
9,2011,32,1174,11637,20,9.9,1375,32680,9,23.8,230249
10,2010,32,1149,11026,13,9.6,2033,45420,23,22.3,236676
11,2009,32,1182,10022,10,8.5,2004,45341,18,22.6,235133
12,2008,32,1091,10092,16,9.3,2114,48249,13,22.8,233645
13,2007,32,1122,10210,17,9.1,2074,46937,25,22.6,232035
14,2006,32,1216,10623,15,8.7,2037,45908,9,22.5,230524
15,2005,32,1252,10141,9,8.1,2137,47626,12,22.3,228595
16,2004,32,1217,10462,11,8.6,2155,46740,17,21.7,233848
17,2003,32,1209,11540,18,9.5,2161,46595,13,21.6,228802
18,2002,32,1151,10971,22,9.5,2205,48020,17,21.8,235697
19,2001,31,1160,11337,12,9.8,1997,43208,10,21.6,220600
20,2000,31,1142,11397,15,10.0,2040,44727,15,21.9,223070
21,1999,31,1229,11497,16,9.4,2035,43196,13,21.2,222039
22,1998,30,1171,11706,16,10.0,1857,41350,18,22.3,214520
23,1997,30,1222,12105,15,9.9,1890,41587,14,22.0,214309
24,1996,30,1135,11396,13,10.0,1919,42163,9,22.0,213609
25,1995,30,1042,9819,10,9.4,2043,43767,9,21.4,220150
26,1994,28,1074,9605,16,8.9,1842,39096,16,21.2,198421
27,1993,28,1044,9500,14,9.1,1381,26888,4,19.5,183246
28,1992,28,974,8909,17,9.1,1393,27059,6,19.4,178593
29,1991,28,993,8679,9,8.7,1487,28094,8,18.9,182184
30,1990,28,996,8397,8,8.4,1632,31228,6,19.1,186302
31,1989,28,1041,9480,5,9.1,1725,33473,9,19.4,198105
32,1988,28,1133,9617,6,8.5,1695,33820,8,20.0,195809
33,1987,28,1088,9909,11,9.1,1681,32664,6,19.4,189594
34,1986,28,1145,9820,14,8.6,1693,33441,7,19.8,198234
35,1985,28,1138,10565,8,9.3,1732,36363,8,21.0,205197
36,1984,28,1207,10417,8,8.6,1744,34544,5,19.8,203665
37,1983,28,1233,10610,12,8.6,1781,34816,3,19.5,206184
38,1982,28,680,5528,5,8.1,975,19589,2,20.1,111099
39,1981,28,1220,10442,11,8.6,1709,34681,5,20.3,204395
40,1980,28,1215,10074,7,8.3,1764,35143,8,19.9,198961
41,1979,28,1215,9299,6,7.7,1781,36110,6,20.3,196472
42,1978,28,1339,11223,7,8.4,1633,34915,7,21.4,189783
43,1977,28,1247,11002,10,8.8,1374,29396,11,21.4,161079
44,1976,28,1266,11432,13,9.0,1527,32743,2,21.4,172151
45,1975,26,1097,10021,9,9.1,1471,32993,7,22.4,163836
46,1974,26,1210,11842,9,9.8,1390,30812,4,22.2,154689
47,1973,26,896,7259,5,8.1,1264,28392,10,22.5,147190
48,1972,26,742,5296,6,7.1,1284,29613,6,23.1,147829
49,1971,26,856,6009,3,7.0,1335,30694,9,23.0,148149
50,1970,26,979,7202,9,7.4,1280,28235,15,22.1,146005
51,1969,16,523,3338,3,6.4,831,18004,7,21.7,93417
52,1968,16,479,3380,8,7.1,882,18806,5,21.3,93282
53,1967,16,522,3174,4,6.1,897,20257,13,22.6,95534
54,1966,15,492,3119,6,6.3,863,19038,8,22.1,90385
55,1965,14,437,3414,6,7.8,760,17647,3,23.2,86122
56,1964,14,461,4210,7,9.1,765,17863,2,23.4,86061
57,1963,14,451,4226,2,9.4,740,17319,9,23.4,87466
58,1962,14,367,3010,2,8.2,780,18485,5,23.7,89033
59,1961,14,400,3784,9,9.5,737,17232,5,23.4,86924
60,1960,13,334,2245,1,6.7,613,13364,3,21.8,66471
61,1959,12,456,2942,11,6.5,474,10151,1,21.4,61242
62,1958,12,471,2702,2,5.7,506,11296,8,22.3,63277
63,1957,12,489,2659,2,5.4,493,11160,3,22.6,59142
64,1956,12,442,2974,7,6.7,509,11498,5,22.6,60485
65,1955,12,487,2741,9,5.6,513,11835,4,23.1,61645
66,1954,12,491,2859,5,5.8,558,12166,6,21.8,64982
67,1953,12,509,3083,4,6.1,534,12172,2,22.8,62705
68,1952,12,499,5053,15,10.1,558,12669,6,22.7,64526
69,1951,12,444,4476,13,10.1,515,11323,2,22.0,64823
70,1950,13,504,5613,6,11.1,580,13091,6,22.6,72377
71,1949,10,394,4691,10,11.9,429,9055,1,21.1,53658
72,1948,10,396,4776,6,12.1,456,9639,4,21.1,54143
73,1947,10,388,5013,6,12.9,472,9434,3,20.0,53347
74,1946,10,315,3715,1,11.8,392,8239,3,21.0,41893
75,1945,10,301,3436,1,11.4,334,6899,1,20.7,37268
76,1944,11,300,3473,3,11.6,325,7066,3,21.7,35363
77,1943,10,246,2840,1,11.5,250,5589,2,22.4,29201
78,1942,10,357,4247,4,11.9,320,7028,6,22.0,38435
79,1941,10,355,4506,8,12.7,317,7084,3,22.3,37814