,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,2019,32,,,0.5,0.5,0.5,0.5,0.6,0.4,0.3,0.2,1.9,1.6,79.9%,2.3,2.2,93.2%,4.3,192.8,0.0,45.3
2,2018,32,,,0.4,0.4,0.6,0.5,0.6,0.4,0.3,0.2,1.8,1.6,84.7%,2.4,2.3,94.3%,4.3,194.4,0.0,45.0
3,2017,32,,,0.5,0.5,0.6,0.5,0.6,0.5,0.3,0.2,2.0,1.7,84.3%,2.2,2.1,94.0%,4.8,216.6,0.0,45.4
4,2016,32,,,0.5,0.5,0.6,0.5,0.6,0.5,0.3,0.2,2.0,1.7,84.2%,2.3,2.2,93.6%,4.6,206.8,0.0,45.3
5,2015,32,,,0.5,0.4,0.5,0.5,0.6,0.5,0.3,0.2,1.9,1.6,84.5%,2.4,2.2,94.2%,4.8,215.5,0.0,45.2
6,2014,32,,,0.5,0.5,0.6,0.5,0.5,0.4,0.3,0.2,1.9,1.6,84.0%,2.4,2.4,99.3%,4.7,208.8,0.0,44.8
7,2013,32,,,0.5,0.5,0.6,0.5,0.6,0.5,0.3,0.2,1.9,1.7,86.5%,2.5,2.5,99.6%,4.9,221.9,0.0,45.0
8,2012,32,,,0.4,0.4,0.6,0.5,0.6,0.5,0.3,0.2,2.0,1.7,83.9%,2.4,2.4,99.5%,4.8,219.4,0.0,45.5
9,2011,32,,,0.6,0.6,0.5,0.4,0.6,0.4,0.3,0.2,2.0,1.6,82.9%,2.4,2.3,99.4%,4.9,218.8,0.0,45.0
10,2010,32,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.6,82.4%,2.4,2.3,99.1%,4.8,209.0,0.0,43.4
11,2009,32,,,0.5,0.5,0.6,0.5,0.5,0.4,0.2,0.1,1.8,1.5,81.3%,2.3,2.3,98.3%,4.8,210.9,0.0,44.1
12,2008,32,,,0.5,0.5,0.6,0.6,0.6,0.4,0.2,0.1,2.0,1.7,84.5%,2.3,2.3,99.5%,4.5,197.9,0.0,43.9
13,2007,32,,,0.6,0.5,0.5,0.5,0.6,0.4,0.2,0.1,1.9,1.6,82.8%,2.3,2.3,99.0%,4.6,199.6,0.0,43.4
14,2006,32,,,0.5,0.5,0.5,0.5,0.6,0.4,0.2,0.1,1.8,1.5,81.4%,2.2,2.2,99.0%,4.9,211.1,0.0,43.4
15,2005,32,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,81.0%,2.2,2.1,98.7%,4.9,208.6,0.0,42.5
16,2004,32,,,0.5,0.5,0.5,0.4,0.5,0.4,0.2,0.1,1.7,1.4,80.8%,2.3,2.3,99.2%,4.9,206.8,0.0,42.0
17,2003,32,,,0.5,0.5,0.5,0.4,0.6,0.4,0.2,0.1,1.9,1.5,79.2%,2.2,2.2,98.4%,5.0,205.7,0.0,41.3
18,2002,32,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.4,77.5%,2.3,2.2,98.5%,4.8,197.4,0.0,41.3
19,2001,31,,,0.5,0.5,0.5,0.5,0.7,0.4,0.1,0.1,1.9,1.5,76.3%,2.1,2.0,98.1%,5.0,210.5,0.0,42.1
20,2000,31,0.1,0.1,0.5,0.5,0.6,0.5,0.6,0.4,0.1,0.1,1.8,1.5,79.7%,2.1,2.1,99.1%,5.0,208.7,0.0,41.9
21,1999,31,0.1,0.1,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,77.7%,2.1,2.1,98.9%,5.2,217.6,0.0,41.9
22,1998,30,,,0.5,0.5,0.5,0.5,0.6,0.4,0.2,0.1,1.9,1.5,79.6%,2.2,2.1,98.3%,5.1,220.8,0.0,43.4
23,1997,30,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,78.1%,2.1,2.1,98.6%,5.2,221.4,0.0,43.0
24,1996,30,,,0.6,0.6,0.6,0.5,0.6,0.4,0.1,0.1,1.9,1.5,80.0%,2.1,2.0,98.6%,4.8,208.9,0.0,43.1
25,1995,30,,,0.6,0.5,0.7,0.5,0.5,0.4,0.2,0.1,2.0,1.5,77.4%,2.2,2.1,98.2%,4.6,191.9,0.0,42.0
26,1994,28,,,0.5,0.5,0.6,0.5,0.5,0.3,0.1,0.1,1.8,1.4,78.9%,2.0,2.0,98.8%,4.9,204.0,0.0,41.8
27,1993,28,0.1,0.1,0.5,0.5,0.6,0.5,0.5,0.3,0.3,0.1,2.0,1.5,76.6%,2.0,2.0,97.2%,4.7,200.5,0.0,42.4
28,1992,28,,,0.4,0.4,0.6,0.4,0.5,0.3,0.2,0.1,1.7,1.3,72.6%,2.1,2.1,98.3%,4.6,194.6,0.0,42.4
29,1991,28,0.1,0.1,0.5,0.5,0.6,0.5,0.5,0.3,0.2,0.1,1.9,1.4,73.5%,2.1,2.1,97.7%,4.4,185.0,0.0,41.7
30,1990,28,0.1,0.1,0.5,0.4,0.6,0.4,0.5,0.3,0.2,0.1,1.8,1.3,74.4%,2.3,2.2,97.4%,4.3,174.7,0.0,40.8
31,1989,28,0.1,0.1,0.5,0.5,0.6,0.4,0.6,0.3,0.1,,1.9,1.3,72.5%,2.3,2.3,97.9%,4.6,188.6,0.0,40.6
32,1988,28,,,0.5,0.4,0.5,0.4,0.5,0.3,0.2,0.1,1.8,1.3,71.7%,2.3,2.2,96.1%,4.9,197.5,0.1,40.6
33,1987,28,,,0.5,0.5,0.6,0.4,0.6,0.3,0.1,,1.9,1.3,70.3%,2.5,2.4,97.0%,5.1,202.6,0.1,39.8
34,1986,28,0.1,0.1,0.4,0.4,0.5,0.4,0.6,0.3,0.2,0.1,1.8,1.2,68.6%,2.4,2.3,96.9%,5.2,211.2,0.1,40.9
35,1985,28,,,0.5,0.4,0.6,0.5,0.5,0.3,0.2,0.1,1.8,1.3,72.2%,2.5,2.4,96.7%,5.1,211.9,0.0,41.7
36,1984,28,0.1,0.1,0.4,0.4,0.5,0.4,0.6,0.3,0.2,0.1,1.8,1.3,71.7%,2.5,2.4,97.3%,5.0,208.5,0.0,41.3
37,1983,28,0.1,,0.4,0.4,0.5,0.4,0.5,0.3,0.2,0.1,1.7,1.2,71.5%,2.6,2.5,95.8%,5.0,206.0,0.0,41.0
38,1982,28,0.1,0.1,0.5,0.4,0.5,0.4,0.6,0.4,0.2,,1.8,1.2,68.2%,2.3,2.2,94.9%,5.0,202.7,0.0,40.9
39,1981,28,0.1,,0.5,0.4,0.5,0.4,0.6,0.3,0.1,,1.8,1.2,65.9%,2.4,2.3,95.3%,5.0,205.6,0.0,41.1
40,1980,28,,,0.4,0.4,0.5,0.4,0.5,0.2,0.2,0.1,1.7,1.1,63.6%,2.4,2.3,95.0%,4.9,196.9,0.0,40.6
41,1979,28,,,0.4,0.4,0.5,0.4,0.5,0.2,0.1,,1.6,1.0,63.1%,2.4,2.2,91.3%,5.2,206.2,0.1,39.8
42,1978,28,0.1,0.1,0.4,0.3,0.5,0.3,0.5,0.2,0.1,,1.5,1.0,63.1%,2.2,2.0,93.1%,5.5,214.0,0.1,39.0
43,1977,28,,,0.4,0.3,0.5,0.3,0.5,0.2,0.1,,1.6,0.9,58.3%,2.1,1.9,91.9%,5.8,225.2,0.1,38.9
44,1976,28,0.1,0.1,0.4,0.3,0.5,0.3,0.6,0.3,0.1,,1.7,1.0,59.5%,2.3,2.1,91.1%,5.8,225.9,0.1,39.1
45,1975,26,0.1,0.1,0.5,0.4,0.5,0.3,0.5,0.2,0.1,,1.6,1.0,64.2%,2.5,2.3,91.6%,5.4,213.9,0.1,39.6
46,1974,26,,,0.4,0.3,0.5,0.3,0.5,0.2,0.1,,1.5,0.9,60.6%,2.2,2.0,92.1%,5.5,213.4,0.0,39.0
47,1973,26,0.5,0.4,0.5,0.4,0.6,0.4,0.6,0.2,0.2,,2.4,1.5,63.1%,2.1,2.1,98.0%,4.9,199.1,0.1,41.0
48,1972,26,0.3,0.3,0.4,0.3,0.6,0.4,0.7,0.3,0.2,,2.2,1.4,61.1%,2.3,2.2,97.7%,4.4,180.9,0.0,40.9
49,1971,26,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.2,0.1,,2.2,1.3,58.7%,2.2,2.2,98.6%,4.8,195.2,0.0,40.8
50,1970,26,0.4,0.3,0.5,0.3,0.5,0.3,0.7,0.3,0.2,,2.2,1.3,59.4%,2.2,2.1,97.4%,5.2,214.1,0.0,41.0
51,1969,16,0.3,0.3,0.4,0.3,0.5,0.3,0.6,0.2,0.2,,2.1,1.1,52.7%,2.5,2.5,98.4%,4.9,195.2,0.0,40.0
52,1968,16,0.3,0.3,0.4,0.3,0.5,0.3,0.5,0.1,0.1,,1.9,1.1,55.6%,2.5,2.4,95.7%,4.7,187.9,0.0,40.0
53,1967,16,0.2,0.2,0.4,0.2,0.4,0.2,0.5,0.1,0.1,,2.0,1.0,49.2%,2.7,2.6,97.0%,5.0,199.6,0.0,40.3
54,1966,15,0.3,0.3,0.3,0.2,0.4,0.2,0.5,0.2,0.1,,2.2,1.3,55.7%,2.6,2.5,97.2%,4.8,194.6,0.0,40.7
55,1965,14,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,1.9,1.0,53.8%,2.8,2.7,96.9%,4.6,197.4,0.0,42.5
56,1964,14,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,,,2.1,1.1,53.1%,2.7,2.6,95.6%,4.9,213.6,0.0,43.2
57,1963,14,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,1.9,1.0,49.6%,2.7,2.6,95.5%,4.6,195.9,0.0,42.9
58,1962,14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,1.9,0.9,49.5%,2.8,2.7,96.3%,4.3,178.4,0.0,42.0
59,1961,14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,1.9,0.9,48.1%,2.7,2.6,97.1%,4.4,186.9,0.0,42.6
60,1960,13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,1.9,1.0,56.0%,2.6,2.5,96.8%,4.8,202.7,0.1,42.2
61,1959,12,,,,,,,,,,,1.7,0.8,46.8%,2.7,2.6,95.6%,4.8,205.6,0.0,42.9
62,1958,12,,,,,,,,,,,1.8,0.8,46.9%,2.9,2.7,95.6%,4.6,188.8,0.0,40.7
63,1957,12,,,,,,,,,,,1.7,0.9,52.2%,2.5,2.3,95.8%,5.0,204.8,0.0,41.2
64,1956,12,,,,,,,,,,,1.5,0.8,51.1%,2.6,2.4,94.1%,4.8,195.8,0.0,40.5
65,1955,12,,,,,,,,,,,1.7,0.8,46.0%,2.7,2.5,93.2%,5.3,216.2,0.1,41.0
66,1954,12,,,,,,,,,,,1.5,0.8,53.6%,2.8,2.6,95.7%,5.2,210.3,0.0,40.5
67,1953,12,,,,,,,,,,,1.6,0.8,46.6%,2.7,2.6,95.7%,5.7,235.3,0.0,41.1
68,1952,12,,,,,,,,,,,1.5,0.7,43.0%,2.9,2.7,93.3%,6.0,245.8,0.1,41.2
69,1951,12,,,,,,,,,,,1.3,0.7,51.6%,2.8,2.7,95.1%,5.7,228.3,0.0,40.4
70,1950,13,,,,,,,,,,,1.2,0.5,44.2%,3.1,2.9,93.9%,5.7,230.2,0.1,40.4
71,1949,10,,,,,,,,,,,1.1,0.5,45.6%,3.0,2.8,94.4%,5.6,224.5,0.1,40.5
72,1948,10,,,,,,,,,,,0.9,0.4,40.9%,3.2,3.0,93.4%,5.8,233.6,0.1,40.6
73,1947,10,,,,,,,,,,,1.0,0.4,44.5%,3.0,2.7,92.4%,5.4,224.1,0.1,41.4
74,1946,10,,,,,,,,,,,1.0,0.4,42.7%,2.5,2.3,92.8%,5.3,216.1,0.1,41.1
75,1945,10,,,,,,,,,,,0.8,0.3,45.3%,2.5,2.3,90.9%,5.1,102.1,0.1,19.9
76,1944,11,,,,,,,,,,,0.7,0.2,33.3%,2.5,2.2,87.6%,6.0,153.7,0.1,25.8
77,1943,10,,,,,,,,,,,0.9,0.2,23.5%,2.7,2.5,91.7%,6.3,241.5,0.1,38.2
78,1942,10,,,,,,,,,,,0.8,0.3,35.5%,2.1,2.0,92.8%,6.2,243.8,0.1,39.6
79,1941,10,,,,,,,,,,,1.1,0.4,39.8%,2.2,1.9,88.2%,6.0,122.2,0.0,20.5
80,1940,10,,,,,,,,,,,1.0,0.4,39.6%,2.0,1.7,85.1%,6.2,247.2,0.0,39.7
81,1939,10,,,,,,,,,,,1.2,0.5,38.8%,2.0,1.7,82.1%,,,,
82,1938,10,,,,,,,,,,,0.9,0.4,40.6%,1.8,1.5,82.3%,,,,
83,1937,10,,,,,,,,,,,,0.4,,1.7,1.4,82.4%,,,,
84,1936,9,,,,,,,,,,,,0.4,,1.5,1.3,81.9%,,,,
85,1935,9,,,,,,,,,,,,0.4,,1.4,1.1,77.5%,,,,
86,1934,11,,,,,,,,,,,,0.4,,1.4,1.0,74.0%,,,,
87,1933,10,,,,,,,,,,,,0.3,,1.3,1.0,79.3%,,,,
88,1932,8,,,,,,,,,,,,0.1,,1.2,0.8,67.3%,,,,